m,q,h,n,epsilon,target
2.990084395281265,2.776596053594621,2.416929359726004,3.5483133996684257,3.35650693777758,-0.026884683036262985
4.617891948197906,1.6307917535896106,3.879833786869791,4.897679298104961,4.556935641745584,0.0017516647906710902
4.507570486140627,3.995760129825624,3.903983809380205,4.51173838590138,2.2344653488306427,-0.09345757354896427
4.2127476009024205,2.5445064509516504,4.212809577175148,2.908412500278473,3.1533311041795136,-0.013971094656425077
4.063170871502768,3.969880772293181,2.5195941613187083,3.4530130086944046,3.7377473859469417,-0.11683086665305122
3.73873800027706,1.2348826030713502,2.767136533505472,3.53742809136606,1.8420068654025816,-0.0009838340720133326
3.5821020683826013,1.1525273329840011,3.7437941420629937,2.7447062900126107,4.278092513347447,0.0008657604136928426
2.8790664738519167,3.5078135790893423,2.410650636322369,3.5805997831697898,3.31749763025986,-0.06725713974432045
3.4550041317797118,1.3624148404863008,3.2490585353019656,2.3626109043123327,3.4564687754166195,-0.0014606014694661276
1.9180302988259927,1.1386422727132235,1.62462099174018,4.015402319696927,1.0703820626900349,-0.011337139771129205
4.641870073260749,2.1068669951597934,3.354270921270328,3.4687311008427697,4.467027870564484,-0.006057068326265482
4.686305664140394,2.872542889731744,2.7984285441001,3.3287100291823126,2.1547716930827256,-0.09719603410366139
2.6240281615665544,2.8048969059131803,1.204487890581217,2.1922298193389467,3.742438651795208,-0.20906180826074544
4.488002245211472,4.283675085835908,1.7435471155995437,3.533569938948293,3.2917997409876723,-0.4612453502140286
3.6050548030555527,1.4821452530471104,4.376523202037912,4.587337877081323,3.076014767447068,9.589535621562105e-05
3.945426756448053,1.674729854382171,1.87782762513724,1.7100792225554766,2.753785621054799,-0.05328234499632191
3.3698722064065803,2.8766285445576583,1.1885082739130963,3.280862534368726,2.969056436689262,-0.21778838383566815
1.4794220420185602,4.935427567048256,2.721183132839209,1.027036066431125,2.6537341729070265,-1.9977957344377888
4.969153716159415,3.7911058819204406,1.7449288305973425,2.481671554283857,2.6798373241315576,-0.9552536706628352
4.041281560632177,1.9952472271936847,2.8904672380991854,4.958398911228024,1.5918716997460134,-0.015764346039784726
3.311979536960421,1.8526733829670703,1.1766069266104462,2.6293901865676554,3.9131075316049886,-0.03294542552177587
4.271641543913328,1.87092901346588,3.2351179213630497,2.8885969110098286,3.4097402967566235,-0.00570915760208285
2.6762371599004964,3.95696755223771,2.213576577198852,2.655038913371299,4.4951456038470665,-0.11864264795919607
4.722707650405007,4.041954129650486,4.616617765114917,2.8558086505241933,1.2399103239647222,-0.5920010344906264
2.1777755109468933,1.9441466365825104,1.235807053341492,2.808875910713547,4.053989249910905,-0.019341624247660342
2.494714117257863,3.9843017923970527,2.5282347887861585,4.078915911757681,2.5715289618104302,-0.11017672204169736
1.9877518771676,1.3497285687375469,4.057803181792501,4.471532790452472,1.7220852388581194,0.004889437531428587
3.295996329161736,4.388213174578215,3.270589698696965,2.609704839039888,1.3560550029451348,-1.1410373233251294
4.092290321299656,2.062813507402088,1.9925906299179688,2.394363118032272,4.5848299300851965,-0.02156890034055891
1.5243914570396428,3.336468710636002,3.123451231557224,4.430934373279399,2.280048709622962,-0.022086269730037057
2.2659422048506763,4.445223365849233,4.35246867000804,1.1522737995661094,4.763497731741895,-0.19371998236772625
4.373755083583181,4.477552098040834,3.8040406862165903,1.1660168015506025,3.792521696355095,-0.7769293711585752
2.940412167585416,1.4755954269008544,1.75997910527935,4.361085168025071,3.2959530963684927,-0.006499661530236045
2.9466739004437548,3.8189098639531336,3.1560563015777547,2.6572340609135314,4.074221781317746,-0.06564663688344995
3.1247755823548578,3.287814833232988,1.1919312172016956,2.80436999334443,1.6422636072234544,-1.5170742755938218
2.060434521941474,4.659555373689537,3.377924776392028,1.7142908823494951,2.620778979628608,-0.5267593672615657
4.464065300187636,3.1310352751910666,3.7603373011183865,4.216894941992374,1.4742535727647563,-0.0980219457278525
2.54917231703816,1.7143679291900202,1.3817076128387256,2.2047596076763587,3.720470545037018,-0.024585026419617115
4.3150219281316815,4.352624279567694,4.406152262861736,3.9216327023037416,4.52476592956061,-0.03206968261318663
4.249441988527453,4.101224467816777,1.1223758095569774,1.0294424270136684,2.8430574210542137,-13.92225037017785
1.314519875897675,3.517802094860929,2.8665278068653066,4.714336786934819,3.2245710109982664,-0.012624024625831856
3.325210661817157,1.8465449989578688,2.8447926407687283,2.7413746300208066,2.70079119987022,-0.012691337435469399
3.576300929132298,1.0210396506579036,2.9859402809616484,1.806886639413718,3.0754515520672943,0.00021125101852864777
2.1983135126314144,1.926684054848243,2.8439985462261714,2.4174544085936303,4.281506433177161,-0.006981148035314298
4.983498785938061,2.9805277042134417,1.449166819278712,4.575999777434678,4.060999698879689,-0.06263121504867585
4.070649035917649,1.2302225154243556,4.1503761781951365,4.211921665162775,4.2079021403824655,0.0008600405232905303
1.1010502489043392,3.4713169873082825,4.310523231806304,3.374629780374926,3.289628976693959,-0.0064117483700272425
4.309670364279784,3.304624642348481,4.880581953267091,3.6403902017446015,4.840489060353571,-0.008251433081505563
1.3444859758614869,4.694632910987787,4.484353453286527,3.6304047512807087,4.631807239212785,-0.014099217972421934
2.7243425646346453,1.3676453575956766,2.3851236588256057,4.863675872013276,3.519168797269456,-0.00448554093825721
1.3903784963549106,4.350558844696668,2.120444999623696,2.494911820889248,3.5392359846401784,-0.17555884776621458
2.9651316528898866,1.511857522195602,3.302097919784017,4.0380435056515,2.392489108174648,0.0015155398952623547
2.246671573526018,4.07394117880915,3.243689468654672,3.5610034445513365,4.772429131711991,-0.024031002866411008
2.9230772866460226,3.374172083760357,4.6042338621977645,2.897404003178609,2.3004475584997093,-0.05409845587804513
3.267864974581497,3.8709407436833,2.5970233639439693,2.0716838407993405,3.905256738596018,-0.20862619596220935
2.43476896537641,1.9752282241022256,1.9865397170040908,2.8298805963327625,4.350111134008342,-0.006638730433659316
4.3742639461811645,2.6205998668808217,4.574806039043379,3.385814430302853,2.224739456406458,-0.018938764534759008
4.335461438258489,3.271738839678079,1.4698308790020669,4.837970264086565,4.266427938389343,-0.06675034864873308
2.6904045197215303,1.679420023236108,1.4122090569397008,3.692539314413138,4.388196817139147,-0.003915156283885434
4.705176351319935,2.4212119955141858,2.6273745313252834,1.9186089265258497,4.775190039746418,-0.03885050351820125
2.410027861353804,2.9092973393122814,2.7456513391388118,3.67813409867558,3.4401518065203844,-0.014450954120172723
2.609463908992801,4.098108014392672,3.146968447682464,2.7904578196909284,4.76958849205142,-0.053758205014713664
1.274828816152393,2.260020544107233,2.5923974631048954,1.9070793791765377,3.028850918527028,-0.023399648139973975
4.518761875967152,1.5539521398408542,4.278751603980711,2.5826254744400163,2.0198621820240192,-0.006193802693207745
4.2738516464190095,3.517420948724012,1.4985829188223176,4.693114454260628,1.2364809650304056,-1.082024809715306
2.820307745490592,2.27767939893226,4.114455105052743,3.872178144274733,1.2812802720670382,-0.020551724223170954
4.171779313072806,1.2216317248443267,4.232299080110385,4.321142192505564,3.9193694113203343,-0.0009075704637456624
1.2225800218653418,1.7596916661749842,4.821418043729452,4.351118074211522,3.1832372567135363,-0.0005336101675925756
2.65793582236803,1.4608458238968511,2.7429803370044854,3.1641788340760324,1.6171768899927563,-0.0051887201469602885
1.6094228847217944,3.912977811404257,1.1316634682854905,1.9103921781776627,1.2503835107218486,-6.4521446990485565
4.123732264212017,3.0203006834139177,3.3437856103508867,3.30598733994,4.1190742168683885,-0.02350845411593338
4.4995718484760046,1.9636931868525016,2.6485211554043846,4.540110155226676,1.8459107451293493,-0.015517589837002946
2.7306057890510065,2.6522353987521536,1.2071109892659613,4.854412806220772,1.5423652618863093,-0.2027301370855337
2.607420620808382,2.2576539849173245,4.98012171647337,3.526104982900345,2.5132102158959246,-0.005717717304620931
1.1670444868112653,3.7998583667691297,2.7149676418028257,1.2314979950257443,2.0324130134255483,-0.6623466859604177
3.294919174003061,3.844563219817799,4.7010243573656165,2.054147313836716,2.0606402607147496,-0.2286718778928675
3.0675153641736146,1.71129372400393,1.847935143675172,4.677082575231578,1.7584791001615705,-0.012482417223397652
